\c:1544920417*54\$GPGLL,3247.223,N,07954.563,W,163439,A,A*51	\c:1544920418*5B\$IIVWT,102,R,14.50,N,07.46,M,,*32
\c:1544920419*5A\$GPGLL,3247.223,N,07954.563,W,163441,A,A*5E	\c:1544920421*51\$IIVWT,105,R,15.58,N,08.02,M,,*33
\c:1544920421*51\$GPGLL,3247.223,N,07954.563,W,163443,A,A*5C	\c:1544920423*53\$IIVWT,104,R,15.49,N,07.97,M,,*31
\c:1544920423*53\$GPGLL,3247.223,N,07954.563,W,163445,A,A*5A	\c:1544920425*55\$IIVWT,094,R,14.90,N,07.67,M,,*33
\c:1544920425*55\$GPGLL,3247.223,N,07954.563,W,163447,A,A*58	\c:1544920427*57\$IIVWT,097,R,14.32,N,07.37,M,,*3D
\c:1544920427*57\$GPGLL,3247.223,N,07954.563,W,163449,A,A*56	\c:1544920429*59\$IIVWT,099,R,16.17,N,08.32,M,,*3C
\c:1544920430*51\$GPGLL,3247.223,N,07954.563,W,163451,A,A*5F	\c:1544920431*50\$IIVWT,094,R,15.93,N,08.20,M,,*3D
\c:1544920432*53\$GPGLL,3247.223,N,07954.563,W,163453,A,A*5D	\c:1544920433*52\$IIVWT,093,R,15.51,N,07.98,M,,*38
\c:1544920434*55\$GPGLL,3247.223,N,07954.563,W,163455,A,A*5B	\c:1544920435*54\$IIVWT,096,R,17.22,N,08.86,M,,*3B
\c:1544920436*57\$GPGLL,3247.223,N,07954.563,W,163457,A,A*59	\c:1544920438*59\$IIVWT,102,R,16.46,N,08.47,M,,*39
\c:1544920438*59\$GPGLL,3247.223,N,07954.563,W,163459,A,A*57	\c:1544920439*58\$IIVWT,100,R,16.50,N,08.49,M,,*32
\c:1544920440*56\$GPGLL,3247.223,N,07954.563,W,163501,A,A*5B	\c:1544920441*57\$IIVWT,101,R,16.46,N,08.47,M,,*3A
\c:1544920442*54\$GPGLL,3247.223,N,07954.563,W,163503,A,A*59	\c:1544920443*55\$IIVWT,103,R,15.80,N,08.13,M,,*30
\c:1544920443*55\$GPGLL,3247.2157,N,07954.5640,W,163506.000,A,D*42	\c:1544920445*53\$IIVWT,097,R,14.57,N,07.50,M,,*3F
\c:1544920444*52\$GPGLL,3247.2157,N,07954.5640,W,163507.000,A,D*43	\c:1544920447*51\$IIVWT,099,R,14.65,N,07.54,M,,*34
\c:1544920444*52\$GPGLL,3247.223,N,07954.563,W,163505,A,A*5F	\c:1544920449*5F\$IIVWT,096,R,14.44,N,07.43,M,,*3E
\c:1544920445*53\$GPGLL,3247.2157,N,07954.5640,W,163508.000,A,D*4C	\c:1544920451*56\$IIVWT,097,R,15.88,N,08.17,M,,*30
\c:1544920446*50\$GPGLL,3247.2157,N,07954.5640,W,163509.000,A,D*4D	\c:1544920453*54\$IIVWT,100,R,16.30,N,08.39,M,,*33
\c:1544920446*50\$GPGLL,3247.223,N,07954.563,W,163507,A,A*5D	\c:1544920455*52\$IIVWT,099,R,16.13,N,08.30,M,,*3A
\c:1544920447*51\$GPGLL,3247.2157,N,07954.5640,W,163510.000,A,D*45	\c:1544920457*50\$IIVWT,100,R,16.46,N,08.47,M,,*3B
\c:1544920448*5E\$GPGLL,3247.2157,N,07954.5640,W,163511.000,A,D*44	\c:1544920459*5E\$IIVWT,101,R,16.89,N,08.69,M,,*35
\c:1544920448*5E\$GPGLL,3247.223,N,07954.563,W,163509,A,A*53	\c:1544920461*55\$IIVWT,097,R,16.46,N,08.47,M,,*34
\c:1544920449*5F\$GPGLL,3247.2157,N,07954.5640,W,163512.000,A,D*47	\c:1544920464*50\$IIVWT,094,R,17.59,N,09.05,M,,*3F
\c:1544920450*57\$GPGLL,3247.2157,N,07954.5640,W,163513.000,A,D*46	\c:1544920466*52\$IIVWT,098,R,18.33,N,09.43,M,,*32
\c:1544920450*57\$GPGLL,3247.223,N,07954.563,W,163511,A,A*5A	\c:1544920753*57\$IIVWT,115,R,12.77,N,06.57,M,,*36
\c:1544920451*56\$GPGLL,3247.2157,N,07954.5640,W,163514.000,A,D*41	\c:1544920755*51\$IIVWT,118,R,12.09,N,06.22,M,,*30
\c:1544920452*55\$GPGLL,3247.2157,N,07954.5640,W,163515.000,A,D*40	\c:1544920757*53\$IIVWT,117,R,12.18,N,06.27,M,,*3A
\c:1544920452*55\$GPGLL,3247.223,N,07954.563,W,163513,A,A*58	\c:1544920759*5D\$IIVWT,116,R,12.34,N,06.35,M,,*36
\c:1544920453*54\$GPGLL,3247.2157,N,07954.5640,W,163516.000,A,D*43	\c:1544920761*56\$IIVWT,111,R,12.22,N,06.29,M,,*3B
\c:1544920454*53\$GPGLL,3247.2158,N,07954.5640,W,163517.000,A,D*4D	\c:1544920763*54\$IIVWT,107,R,12.84,N,06.61,M,,*3C
\c:1544920454*53\$GPGLL,3247.223,N,07954.563,W,163515,A,A*5E	\c:1544920765*52\$IIVWT,111,R,13.08,N,06.73,M,,*3D
\c:1544920455*52\$GPGLL,3247.2158,N,07954.5640,W,163518.000,A,D*42	\c:1544920767*50\$IIVWT,113,R,12.09,N,06.22,M,,*3B
\c:1544920456*51\$GPGLL,3247.2158,N,07954.5640,W,163519.000,A,D*43	\c:1544920769*5E\$IIVWT,109,R,12.22,N,06.29,M,,*32
\c:1544920456*51\$GPGLL,3247.223,N,07954.563,W,163517,A,A*5C	\c:1544920772*54\$IIVWT,111,R,13.27,N,06.83,M,,*3F
\c:1544920457*50\$GPGLL,3247.2158,N,07954.5640,W,163520.000,A,D*49	\c:1544920774*52\$IIVWT,112,R,13.27,N,06.83,M,,*3C
\c:1544920458*5F\$GPGLL,3247.2158,N,07954.5640,W,163521.000,A,D*48	\c:1544920776*50\$IIVWT,111,R,13.31,N,06.85,M,,*3E
\c:1544920458*5F\$GPGLL,3247.223,N,07954.563,W,163519,A,A*52	\c:1544920778*5E\$IIVWT,112,R,13.91,N,07.16,M,,*3C
\c:1544920459*5E\$GPGLL,3247.2158,N,07954.5640,W,163522.000,A,D*4B	\c:1544920780*59\$IIVWT,118,R,14.26,N,07.34,M,,*3D
\c:1544920460*54\$GPGLL,3247.2158,N,07954.5640,W,163523.000,A,D*4A	\c:1544920782*5B\$IIVWT,112,R,13.45,N,06.92,M,,*38
\c:1544920460*54\$GPGLL,3247.223,N,07954.563,W,163522,A,A*5A	\c:1544920784*5D\$IIVWT,113,R,13.12,N,06.75,M,,*32
