\c:1552136602*5A\$IIVWT,044,L,02.64,N,01.36,M,,*2E
\c:1552136604*5C\$IIVWT,030,L,02.64,N,01.36,M,,*2D
\c:1552136606*5E\$IIVWT,032,L,02.54,N,01.31,M,,*2B
\c:1552136608*50\$IIVWT,002,L,02.39,N,01.23,M,,*20
\c:1552136610*59\$IIVWT,006,L,02.25,N,01.16,M,,*2F
\c:1552136612*5B\$IIVWT,005,L,01.74,N,00.90,M,,*24
\c:1552136614*5D\$IIVWT,086,L,01.74,N,00.90,M,,*2F
\c:1552136616*5F\$IIVWT,098,L,01.43,N,00.74,M,,*2E
\c:1552136618*51\$IIVWT,094,L,01.14,N,00.59,M,,*2F
\c:1552136620*5A\$IIVWT,094,L,01.14,N,00.59,M,,*2F
\c:1552136622*58\$IIVWT,101,L,01.16,N,00.60,M,,*2A
\c:1552136624*5E\$IIVWT,100,L,01.14,N,00.59,M,,*23
\c:1552136626*5C\$IIVWT,077,L,01.57,N,00.81,M,,*20
\c:1552136628*52\$IIVWT,075,L,01.67,N,00.86,M,,*26
\c:1552136630*5B\$IIVWT,075,L,01.74,N,00.90,M,,*23
\c:1552136633*58\$IIVWT,066,L,01.80,N,00.93,M,,*29
\c:1552136635*5E\$IIVWT,053,L,02.09,N,01.08,M,,*2E
\c:1552136637*5C\$IIVWT,042,L,02.42,N,01.25,M,,*2E
\c:1552136639*52\$IIVWT,043,L,02.54,N,01.31,M,,*2D
\c:1552136641*5D\$IIVWT,042,L,02.54,N,01.31,M,,*2C
\c:1552136643*5F\$IIVWT,042,L,02.48,N,01.28,M,,*29
\c:1552136645*59\$IIVWT,041,L,02.44,N,01.26,M,,*28
\c:1552136647*5B\$IIVWT,042,L,02.29,N,01.18,M,,*2D
\c:1552136649*55\$IIVWT,038,L,02.39,N,01.23,M,,*29
\c:1552136651*5C\$IIVWT,037,L,02.33,N,01.20,M,,*2F
\c:1552136653*5E\$IIVWT,037,L,02.31,N,01.19,M,,*27
\c:1552136655*58\$IIVWT,033,L,02.39,N,01.23,M,,*22
\c:1552136657*5A\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136659*54\$IIVWT,043,L,02.42,N,01.25,M,,*2F
\c:1552136661*5F\$IIVWT,043,L,02.52,N,01.30,M,,*2A
\c:1552136663*5D\$IIVWT,042,L,02.77,N,01.43,M,,*28
\c:1552136665*5B\$IIVWT,053,L,02.91,N,01.50,M,,*22
\c:1552136668*56\$IIVWT,051,L,02.97,N,01.53,M,,*25
\c:1552136669*57\$IIVWT,051,L,02.76,N,01.42,M,,*2A
\c:1552136671*5E\$IIVWT,052,L,02.76,N,01.42,M,,*29
\c:1552136673*5C\$IIVWT,044,L,02.48,N,01.28,M,,*2F
\c:1552136676*59\$IIVWT,046,L,02.39,N,01.23,M,,*20
\c:1552136678*57\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136680*50\$IIVWT,044,L,02.56,N,01.32,M,,*2B
\c:1552136682*52\$IIVWT,042,L,02.62,N,01.35,M,,*2D
\c:1552136684*54\$IIVWT,030,L,02.77,N,01.43,M,,*2D
\c:1552136686*56\$IIVWT,032,L,02.64,N,01.36,M,,*2F
\c:1552136688*58\$IIVWT,043,L,02.54,N,01.31,M,,*2D
\c:1552136690*51\$IIVWT,052,L,02.54,N,01.31,M,,*2D
\c:1552136692*53\$IIVWT,052,L,02.46,N,01.27,M,,*29
\c:1552136695*54\$IIVWT,046,L,02.62,N,01.35,M,,*29
\c:1552136696*57\$IIVWT,035,L,02.64,N,01.36,M,,*28
\c:1552136698*59\$IIVWT,041,L,02.83,N,01.46,M,,*25
\c:1552136700*59\$IIVWT,034,L,02.83,N,01.46,M,,*27
\c:1552136702*5B\$IIVWT,034,L,02.99,N,01.54,M,,*2F
\c:1552136704*5D\$IIVWT,030,L,02.95,N,01.52,M,,*21
\c:1552136706*5F\$IIVWT,043,L,02.77,N,01.43,M,,*29
\c:1552136708*51\$IIVWT,018,L,02.62,N,01.35,M,,*22
\c:1552136710*58\$IIVWT,051,L,02.48,N,01.28,M,,*2B
\c:1552136712*5A\$IIVWT,042,L,02.42,N,01.25,M,,*2E
\c:1552136714*5C\$IIVWT,040,L,02.27,N,01.17,M,,*2E
\c:1552136716*5E\$IIVWT,008,L,02.15,N,01.11,M,,*25
\c:1552136719*51\$IIVWT,016,L,02.15,N,01.11,M,,*2A
\c:1552136721*5A\$IIVWT,039,L,02.15,N,01.11,M,,*27
\c:1552136723*58\$IIVWT,046,L,02.17,N,01.12,M,,*2E
\c:1552136725*5E\$IIVWT,045,L,01.98,N,01.02,M,,*28
\c:1552136727*5C\$IIVWT,036,L,02.06,N,01.06,M,,*2C
