\c:1552136603*5B\$GPGLL,3247.221,N,07954.564,W,130351,A,A*5B	\c:1552136602*5A\$IIVWT,044,L,02.64,N,01.36,M,,*2E
\c:1552136605*5D\$GPGLL,3247.221,N,07954.564,W,130353,A,A*59	\c:1552136604*5C\$IIVWT,030,L,02.64,N,01.36,M,,*2D
\c:1552136607*5F\$GPGLL,3247.221,N,07954.564,W,130355,A,A*5F	\c:1552136606*5E\$IIVWT,032,L,02.54,N,01.31,M,,*2B
\c:1552136609*51\$GPGLL,3247.221,N,07954.564,W,130357,A,A*5D	\c:1552136608*50\$IIVWT,002,L,02.39,N,01.23,M,,*20
\c:1552136611*58\$GPGLL,3247.221,N,07954.564,W,130359,A,A*53	\c:1552136610*59\$IIVWT,006,L,02.25,N,01.16,M,,*2F
\c:1552136613*5A\$GPGLL,3247.221,N,07954.564,W,130401,A,A*59	\c:1552136612*5B\$IIVWT,005,L,01.74,N,00.90,M,,*24
\c:1552136615*5C\$GPGLL,3247.221,N,07954.564,W,130403,A,A*5B	\c:1552136614*5D\$IIVWT,086,L,01.74,N,00.90,M,,*2F
\c:1552136617*5E\$GPGLL,3247.221,N,07954.564,W,130405,A,A*5D	\c:1552136616*5F\$IIVWT,098,L,01.43,N,00.74,M,,*2E
\c:1552136619*50\$GPGLL,3247.221,N,07954.564,W,130407,A,A*5F	\c:1552136618*51\$IIVWT,094,L,01.14,N,00.59,M,,*2F
\c:1552136621*5B\$GPGLL,3247.222,N,07954.564,W,130409,A,A*52	\c:1552136620*5A\$IIVWT,094,L,01.14,N,00.59,M,,*2F
\c:1552136623*59\$GPGLL,3247.2160,N,07954.5641,W,130412.000,A,A*40	\c:1552136622*58\$IIVWT,101,L,01.16,N,00.60,M,,*2A
\c:1552136623*59\$GPGLL,3247.222,N,07954.564,W,130411,A,A*5B	\c:1552136624*5E\$IIVWT,100,L,01.14,N,00.59,M,,*23
\c:1552136624*5E\$GPGLL,3247.2160,N,07954.5640,W,130413.000,A,A*40	\c:1552136626*5C\$IIVWT,077,L,01.57,N,00.81,M,,*20
\c:1552136625*5F\$GPGLL,3247.2159,N,07954.5640,W,130414.000,A,A*4D	\c:1552136628*52\$IIVWT,075,L,01.67,N,00.86,M,,*26
\c:1552136625*5F\$GPGLL,3247.222,N,07954.564,W,130413,A,A*59	\c:1552136630*5B\$IIVWT,075,L,01.74,N,00.90,M,,*23
\c:1552136626*5C\$GPGLL,3247.2159,N,07954.5640,W,130415.000,A,A*4C	\c:1552136633*58\$IIVWT,066,L,01.80,N,00.93,M,,*29
\c:1552136627*5D\$GPGLL,3247.2159,N,07954.5640,W,130416.000,A,A*4F	\c:1552136635*5E\$IIVWT,053,L,02.09,N,01.08,M,,*2E
\c:1552136627*5D\$GPGLL,3247.222,N,07954.564,W,130415,A,A*5F	\c:1552136637*5C\$IIVWT,042,L,02.42,N,01.25,M,,*2E
\c:1552136628*52\$GPGLL,3247.2159,N,07954.5639,W,130417.000,A,A*40	\c:1552136639*52\$IIVWT,043,L,02.54,N,01.31,M,,*2D
\c:1552136629*53\$GPGLL,3247.2159,N,07954.5639,W,130418.000,A,A*4F	\c:1552136641*5D\$IIVWT,042,L,02.54,N,01.31,M,,*2C
\c:1552136629*53\$GPGLL,3247.222,N,07954.564,W,130417,A,A*5D	\c:1552136643*5F\$IIVWT,042,L,02.48,N,01.28,M,,*29
\c:1552136630*5B\$GPGLL,3247.2159,N,07954.5639,W,130419.000,A,A*4E	\c:1552136645*59\$IIVWT,041,L,02.44,N,01.26,M,,*28
\c:1552136631*5A\$GPGLL,3247.2159,N,07954.5639,W,130420.000,A,A*44	\c:1552136647*5B\$IIVWT,042,L,02.29,N,01.18,M,,*2D
\c:1552136631*5A\$GPGLL,3247.222,N,07954.564,W,130419,A,A*53	\c:1552136649*55\$IIVWT,038,L,02.39,N,01.23,M,,*29
\c:1552136632*59\$GPGLL,3247.2159,N,07954.5639,W,130421.000,A,A*45	\c:1552136651*5C\$IIVWT,037,L,02.33,N,01.20,M,,*2F
\c:1552136633*58\$GPGLL,3247.2159,N,07954.5639,W,130422.000,A,A*46	\c:1552136653*5E\$IIVWT,037,L,02.31,N,01.19,M,,*27
\c:1552136633*58\$GPGLL,3247.222,N,07954.564,W,130421,A,A*58	\c:1552136655*58\$IIVWT,033,L,02.39,N,01.23,M,,*22
\c:1552136634*5F\$GPGLL,3247.2159,N,07954.5639,W,130423.000,A,A*47	\c:1552136657*5A\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136635*5E\$GPGLL,3247.2159,N,07954.5639,W,130424.000,A,A*40	\c:1552136659*54\$IIVWT,043,L,02.42,N,01.25,M,,*2F
\c:1552136635*5E\$GPGLL,3247.222,N,07954.564,W,130423,A,A*5A	\c:1552136661*5F\$IIVWT,043,L,02.52,N,01.30,M,,*2A
\c:1552136636*5D\$GPGLL,3247.2159,N,07954.5639,W,130425.000,A,A*41	\c:1552136663*5D\$IIVWT,042,L,02.77,N,01.43,M,,*28
\c:1552136637*5C\$GPGLL,3247.2159,N,07954.5639,W,130426.000,A,A*42	\c:1552136665*5B\$IIVWT,053,L,02.91,N,01.50,M,,*22
\c:1552136637*5C\$GPGLL,3247.222,N,07954.564,W,130425,A,A*5C	\c:1552136668*56\$IIVWT,051,L,02.97,N,01.53,M,,*25
\c:1552136638*53\$GPGLL,3247.2159,N,07954.5639,W,130427.000,A,A*43	\c:1552136669*57\$IIVWT,051,L,02.76,N,01.42,M,,*2A
\c:1552136639*52\$GPGLL,3247.2159,N,07954.5639,W,130428.000,A,A*4C	\c:1552136671*5E\$IIVWT,052,L,02.76,N,01.42,M,,*29
\c:1552136639*52\$GPGLL,3247.222,N,07954.564,W,130427,A,A*5E	\c:1552136673*5C\$IIVWT,044,L,02.48,N,01.28,M,,*2F
\c:1552136640*5C\$GPGLL,3247.2159,N,07954.5639,W,130429.000,A,A*4D	\c:1552136676*59\$IIVWT,046,L,02.39,N,01.23,M,,*20
\c:1552136641*5D\$GPGLL,3247.2159,N,07954.5639,W,130430.000,A,A*45	\c:1552136678*57\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136642*5E\$GPGLL,3247.222,N,07954.564,W,130429,A,A*50	\c:1552136680*50\$IIVWT,044,L,02.56,N,01.32,M,,*2B
\c:1552136642*5E\$GPGLL,3247.2159,N,07954.5639,W,130431.000,A,A*44	\c:1552136682*52\$IIVWT,042,L,02.62,N,01.35,M,,*2D
\c:1552136643*5F\$GPGLL,3247.2159,N,07954.5639,W,130432.000,A,A*47	\c:1552136684*54\$IIVWT,030,L,02.77,N,01.43,M,,*2D
\c:1552136644*58\$GPGLL,3247.222,N,07954.564,W,130431,A,A*59	\c:1552136686*56\$IIVWT,032,L,02.64,N,01.36,M,,*2F
\c:1552136644*58\$GPGLL,3247.2159,N,07954.5639,W,130433.000,A,A*46	\c:1552136688*58\$IIVWT,043,L,02.54,N,01.31,M,,*2D
\c:1552136645*59\$GPGLL,3247.2158,N,07954.5639,W,130434.000,A,A*40	\c:1552136690*51\$IIVWT,052,L,02.54,N,01.31,M,,*2D
\c:1552136646*5A\$GPGLL,3247.222,N,07954.564,W,130433,A,A*5B	\c:1552136692*53\$IIVWT,052,L,02.46,N,01.27,M,,*29
\c:1552136646*5A\$GPGLL,3247.2158,N,07954.5638,W,130435.000,A,A*40	\c:1552136695*54\$IIVWT,046,L,02.62,N,01.35,M,,*29
\c:1552136647*5B\$GPGLL,3247.2158,N,07954.5638,W,130436.000,A,A*43	\c:1552136696*57\$IIVWT,035,L,02.64,N,01.36,M,,*28
\c:1552136648*54\$GPGLL,3247.222,N,07954.564,W,130435,A,A*5D	\c:1552136698*59\$IIVWT,041,L,02.83,N,01.46,M,,*25
\c:1552136648*54\$GPGLL,3247.2158,N,07954.5638,W,130437.000,A,A*42	\c:1552136700*59\$IIVWT,034,L,02.83,N,01.46,M,,*27
\c:1552136649*55\$GPGLL,3247.2157,N,07954.5638,W,130438.000,A,A*42	\c:1552136702*5B\$IIVWT,034,L,02.99,N,01.54,M,,*2F
